C206

VEHICLE
NUMBER     CAPACITY
  25         700

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      40        50          0          0       3390          0
    1      45        68         10        250        551         90
    2      45        70         30        300        561         90
    3      42        66         10        157        468         90
    4      42        68         10        220        531         90
    5      42        65         10        125        436         90
    6      40        69         20        270        561         90
    7      40        66         20        137        448         90
    8      38        68         20        167        478         90
    9      38        70         10        320        591         90
   10      35        66         10        197        508         90
   11      35        69         10        250        551         90
   12      25        85         20        270        551         90
   13      22        75         30         70        381         90
   14      22        85         10        240        531         90
   15      20        80         40        150        461         90
   16      20        85         40        190        501         90
   17      18        75         20        100        411         90
   18      15        75         20        110        421         90
   19      15        80         10        130        441         90
   20      30        50         10         82        393         90
   21      30        52         20        122        433         90
   22      28        52         20        158        469         90
   23      28        55         10        192        503         90
   24      25        50         10         62        373         90
   25      25        52         40        102        413         90
   26      25        55         10        142        453         90
   27      23        52         10        165        476         90
   28      23        55         20        182        493         90
   29      20        50         10         98        409         90
   30      20        55         10        128        439         90
   31      10        35         20         96        407         90
   32      10        40         30         63        374         90
   33       8        40         40         73        384         90
   34       8        45         20        116        427         90
   35       5        35         10         86        397         90
   36       5        45         10        126        437         90
   37       2        40         20        106        417         90
   38       0        40         30        125        436         90
   39       0        45         20        150        461         90
   40      35        30         10        223        534         90
   41      35        32         10        203        514         90
   42      33        32         20        171        482         90
   43      33        35         10        185        496         90
   44      32        30         10        195        506         90
   45      30        30         10        153        464         90
   46      30        32         30        171        482         90
   47      30        35         10        185        496         90
   48      28        30         10        145        456         90
   49      28        35         10        175        486         90
   50      26        32         10        163        474         90
   51      25        30         10        135        446         90
   52      25        35         10        165        476         90
   53      44         5         20        322        633         90
   54      42        10         40        282        593         90
   55      42        15         10        262        573         90
   56      40         5         30        362        673         90
   57      40        15         40        242        553         90
   58      38         5         30        382        693         90
   59      38        15         10        252        563         90
   60      35         5         20        402        713         90
   61      50        30         10        305        616         90
   62      50        35         20        285        596         90
   63      50        40         50        265        576         90
   64      48        30         10        325        636         90
   65      48        40         10        255        566         90
   66      47        35         10        275        586         90
   67      47        40         10        245        556         90
   68      45        30         10        355        666         90
   69      45        35         10        285        596         90
   70      95        30         30        723       1034         90
   71      95        35         20        693       1004         90
   72      53        30         10        315        626         90
   73      92        30         10        705       1016         90
   74      53        35         50        285        596         90
   75      45        65         20        385        696         90
   76      90        35         10        673        984         90
   77      88        30         10        715       1026         90
   78      88        35         20        645        956         90
   79      87        30         10        725       1036         90
   80      85        25         10        755       1066         90
   81      85        35         30        615        926         90
   82      75        55         20        505        816         90
   83      72        55         10        521        832         90
   84      70        58         20        549        860         90
   85      68        60         30        575        886         90
   86      66        55         10        531        842         90
   87      65        55         20        519        830         90
   88      65        60         30        595        906         90
   89      63        58         10        581        892         90
   90      60        55         10        545        856         90
   91      60        60         10        615        926         90
   92      67        85         20        748       1059         90
   93      65        85         40        807       1118         90
   94      65        82         10        773       1084         90
   95      62        80         30        787       1098         90
   96      60        80         10        803       1114         90
   97      60        85         30        853       1164         90
   98      58        75         20        822       1133         90
   99      55        80         10        863       1174         90
  100      55        85         20        893       1204         90
