RC106

VEHICLE
NUMBER     CAPACITY
  5         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      40        50          0          0        230          0
    1      25        85         20         82         95         10
    2      22        75         30        134        148         10
    3      22        85         10         68         83         10
    4      20        80         40        180        194         10
    5      20        85         40        100        117         10
    6      18        75         20        151        165         10
    7      15        75         20        131        145         10
    8      15        80         10         80         93         10
    9      10        35         20        180        193         10
   10       5        35         10         68         85         10
   11      65        55         20        144        156         10
   12      65        60         30         26         37         10
   13      63        58         10        148        163         10
   14      60        55         10        191        203         10
   15      60        60         10        107        121         10
   16       8        40         30         64         80         10
   17       8        45         20         56         70         10
   18       5        45         10        178        192         10
   19       2        40         20         80         96         10
   20       0        40         30         90        105         10
   21       0        45         20        140        152         10
   22      35        30         10        186        200         10
   23      33        32         20         93        106         10
   24      32        30         10         74         89         10
   25      30        30         10         61         76         10
