R109

VEHICLE
NUMBER     CAPACITY
  25         200

CUSTOMER
CUST NO.  XCOORD.   YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
    0      35        35          0          0        230          0
    1      41        49         10        161        171         10
    2      35        17          7         50         60         10
    3      55        45         13        116        126         10
    4      55        20         19        149        159         10
    5      15        30         26         34         44         10
    6      25        30          3         99        109         10
    7      20        50          5         81         91         10
    8      10        43          9         95        105         10
    9      55        60         16         97        107         10
   10      30        60         16        124        134         10
   11      20        65         12         67         77         10
   12      50        35         19         63         73         10
   13      30        25         23        159        169         10
   14      15        10         20         32         42         10
   15      30        50         18        127        137         10
   16      10        20          8        101        111         10
   17       5        30         19        149        159         10
   18      20        40          2         60         70         10
   19      15        60          1         18         28         10
   20      45        65         17        200        210         10
   21      45        20         18        108        118         10
   22      45        10         17        109        119         10
   23      55         5          3        141        151         10
   24      65        35         16         41         51         10
   25      65        20          6        157        167         10
   26      45        30          9        200        210         10
   27      35        40          7        169        179         10
   28      41        37         17        188        198         10
   29      64        42         16         79         89         10
   30      40        60          9         10         20         10
   31      31        52         21        197        207         10
   32      35        69         23         83         93         10
   33      53        52         11         55         65         10
   34      65        55         14         72         82         10
   35      63        65          8          6         16         10
   36       2        60         16        189        199         10
   37      20        20         14        180        190         10
   38       5         5         11         40         50         10
   39      60        12         23         29         39         10
   40      40        25         26        173        183         10
   41      42         7          6         51         61         10
   42      24        12         10        165        175         10
   43      23         3         26        139        149         10
   44      11        14         18         93        103         10
   45       6        38         23        115        125         10
   46       2        48         10        143        153         10
   47       8        56         10         34         44         10
   48      13        52          9         77         87         10
   49       6        68         18         90        100         10
   50      47        47         13         51         61         10
   51      49        58         18        132        142         10
   52      27        43         23        144        154         10
   53      37        31         14         54         64         10
   54      57        29         11        174        184         10
   55      63        23         14        150        160         10
   56      53        12         13        185        195         10
   57      32        12         19         68         78         10
   58      36        26         18        117        127         10
   59      21        24         17         14         24         10
   60      17        34          6        184        194         10
   61      12        24          9        178        188         10
   62      24        58          7        105        115         10
   63      27        69         16        156        166         10
   64      15        77          7         48         58         10
   65      62        77         15        172        182         10
   66      49        73         17        122        132         10
   67      67         5         14         16         26         10
   68      56        39         11         63         73         10
   69      37        47         17         28         38         10
   70      37        56         16          3         13         10
   71      57        68         11        130        140         10
   72      47        16          6        193        203         10
   73      44        17         13         16         26         10
   74      46        13         12        160        170         10
   75      49        11         11        137        147         10
   76      49        42          9        182        192         10
   77      53        43         13        193        203         10
   78      61        52          8         64         74         10
   79      57        48          6         22         32         10
   80      56        37          3        167        177         10
   81      55        54         12         48         58         10
   82      15        47         15        131        141         10
   83      14        37          7         62         72         10
   84      11        31          3        166        176         10
   85      16        22         12         21         31         10
   86       4        18         19         82         92         10
   87      28        18         21        140        150         10
   88      26        52         16        185        195         10
   89      26        35          8         36         46         10
   90      31        67         14        113        123         10
   91      15        19          3        147        157         10
   92      22        22         24        172        182         10
   93      18        24         19         24         34         10
   94      26        27         21        129        139         10
   95      25        24         18         61         71         10
   96      22        27          4        170        180         10
   97      25        21         17         70         80         10
   98      19        21          7         86         96         10
   99      20        26         15         59         69         10
  100      18        18         19          4         14         10
